parameter_id,group,parameter,value,unit,evidence_class,source_ids,code_location,interpretation,sensitivity
P045,耐久性,T寿命 / 年衰减 / 初损,25 / 1.2 / 4,年 / % / %,前瞻情景,E06仅限定证据边界,pvsim/economics.py,未以商业叠层25年队列验证。,本轮寿命18/21.5/25；衰减0.5/1.2/2%；初损0/4/10%
P046,耐久性,更换成本 / 残值 / 停机 / 退役,100 / 0 / 0 / 0,%投运年系统实际成本 / USD / 日 / USD,核算假设,,scripts/analyse_regional_policy.py:lifecycle,寿命不足评价期则在精确寿命时点全系统更换；不随未来学习价替换。,已有50%更换、期末残值
P047,政策,省级交付系数,2024省级光伏利用率,比例,官方区域代理,原正文50,data/source_tables/nea_pv_utilization_rate_2024.csv,内蒙古较低值为基准、较高值为对照；不是2035城市预测，也不是容量因子。,较高值/不弃光对照
P048,政策,建设补贴强度,0—30，锚点10/20/30,%初始光伏系统投资,地方上限参照 + 反事实共同资格,E08；E09,figure5_subsidy_revision_20260908/analyse.py,不含场地运维更换；一次初始支付；不得直接外推全国法定补贴。,
P049,政策,支持对象,通用三技术 / 新技术SJ和T,技术类别,比较设计,E08；E09,figure5_subsidy_revision_20260908/analyse.py,政策参照非逐城资格映射；两方案相同比例隔离对象作用。,
P050,政策,管理费,5,%实际转移支付,作者设定,,figure5_subsidy_revision_20260908/sensitivity.py,实际实施成本缺少项目核算，不能用财政补贴文件证明5%。,已有0/5/10%
P051,政策,缺口接受增量,1,USD/项目,理想化择优设定,,figure5_subsidy_revision_20260908/analyse.py,打破无差异；不是已验证参与激励，不含风险补偿。,
P052,政策,标准机会,1 / 1,MWp / ha每城,归一化设定,,figure5_subsidy_revision_20260908/analyse.py,分别组成容量/场地组合，不是实际储备项目数量。,
P053,数值,MC次数 / 随机种子,10000 / 42,次 / 整数,数值设定,,pvsim/economic_priors.py,独立先验抽样不是经验概率，确定性参数扫描无统计重复含义。,
P054,历史扩展,Softmax温度、爬坡上限与存量退役,见代码，不参与当前NPV择优,混合,历史扩展假设,,scripts/fig_substitution_validation.py:forward,历史新建份额模型单独归档；不可与图5确定性净现值规则混为一套政策参数。,
