technology,field,value,provenance
SJ,alpha_isc_lit,0.02,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,noct,44.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,spectral,"{'lambda_min': 350.0, 'lambda_gap': 800.0, 'eqe_peak': 0.9, 'edge_width': 25.0, 'blue_rolloff': 60.0}",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,degradation_rate,0.03,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,burn_in_loss,0.1,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,burn_in_years,1.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,hysteresis_index,0.04,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,bifaciality,0.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,capex_per_wp,0.8,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,lifetime_years,15.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
SJ,notes,"单结钙钛矿, 效率~20%, 温度/弱光优势明显, 但衰减快、寿命短、有迟滞。",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,name,tandem,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,name_cn,叠层,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,area_cm2,243.36,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,cells_in_series,60,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,I_L_ref,4.62,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,I_o_ref,1.3e-15,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,R_s,0.025,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,R_sh_ref,50.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,n_ideality,2.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,alpha_sc,0.001155,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,EgRef,1.68,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,dEgdT,0.0001,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,Ea_recomb,1.5087,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,gamma_pmax_lit,-0.3,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,beta_voc_lit,-0.24,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,alpha_isc_lit,0.025,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,noct,45.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,spectral,"{'lambda_min': 350.0, 'lambda_gap': 1110.0, 'eqe_peak': 0.85, 'edge_width': 50.0, 'blue_rolloff': 70.0}",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,degradation_rate,0.012,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,burn_in_loss,0.04,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,burn_in_years,1.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,hysteresis_index,0.01,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,bifaciality,0.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,capex_per_wp,1.13,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,lifetime_years,25.0,代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
T,notes,"钙钛矿/晶硅 2T 叠层, 效率~28%; 光谱层显式计算顶/底子电池电流匹配.",代码原值快照；解释与活动状态见参数登记表；capex_per_wp与NOCT等字段不等于当前经济/散热模型输入
