province,raw_gw,scaled_to_national_gw,scale_factor,national_total_gw,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
陕西,34.330,34.366,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3433.0 ten-thousand kW cumulative grid-connected PV capacity for Shaanxi
河南,43.491,43.537,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 4349.1 ten-thousand kW cumulative grid-connected PV capacity for Henan
安徽,43.113,43.158,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 4311.3 ten-thousand kW cumulative grid-connected PV capacity for Anhui
广东,41.155,41.198,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 4115.5 ten-thousand kW cumulative grid-connected PV capacity for Guangdong
福建,12.583,12.596,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 1258.3 ten-thousand kW cumulative grid-connected PV capacity for Fujian
江西,25.639,25.666,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 2563.9 ten-thousand kW cumulative grid-connected PV capacity for Jiangxi
湖南,18.734,18.754,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 1873.4 ten-thousand kW cumulative grid-connected PV capacity for Hunan
湖北,35.100,35.137,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3510.0 ten-thousand kW cumulative grid-connected PV capacity for Hubei
广西,20.523,20.544,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 2052.3 ten-thousand kW cumulative grid-connected PV capacity for Guangxi
海南,7.408,7.416,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 740.8 ten-thousand kW cumulative grid-connected PV capacity for Hainan
云南,37.230,37.269,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 3723.0 ten-thousand kW cumulative grid-connected PV capacity for Yunnan
贵州,19.856,19.877,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 1985.6 ten-thousand kW cumulative grid-connected PV capacity for Guizhou
四川,10.823,10.834,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 1082.3 ten-thousand kW cumulative grid-connected PV capacity for Sichuan
重庆,3.098,3.101,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 309.8 ten-thousand kW cumulative grid-connected PV capacity for Chongqing
辽宁,12.139,12.152,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 1213.9 ten-thousand kW cumulative grid-connected PV capacity for Liaoning
吉林,5.830,5.836,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 583.0 ten-thousand kW cumulative grid-connected PV capacity for Jilin
黑龙江,7.171,7.179,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 717.1 ten-thousand kW cumulative grid-connected PV capacity for Heilongjiang
北京,1.303,1.304,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 130.3 ten-thousand kW cumulative grid-connected PV capacity for Beijing
天津,7.241,7.249,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 724.1 ten-thousand kW cumulative grid-connected PV capacity for Tianjin
上海,4.114,4.118,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 411.4 ten-thousand kW cumulative grid-connected PV capacity for Shanghai
西藏,4.039,4.043,1.00104666169117,886.6,National Energy Administration,https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024 PV power construction status table with provincial cumulative grid-connected capacity,2026-07-01,row-level official complete,Official NEA table reports 403.9 ten-thousand kW cumulative grid-connected PV capacity for Tibet
