province,reporting_region,year,pv_utilization_rate_pct_2023,pv_utilization_rate_pct_2024,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
湖北,湖北,2024,98.3,97.6,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
湖南,湖南,2024,100.0,99.4,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
重庆,重庆,2024,100.0,100.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
四川,四川,2024,100.0,98.1,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
陕西,陕西,2024,96.5,94.5,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
甘肃,甘肃,2024,95.0,91.3,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
青海,青海,2024,91.4,90.3,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
宁夏,宁夏,2024,96.4,95.3,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
新疆,新疆,2024,96.9,92.2,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
西藏,西藏,2024,78.0,68.6,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
广东,广东,2024,99.9,99.9,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
广西,广西,2024,100.0,98.6,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
海南,海南,2024,99.8,99.8,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
贵州,贵州,2024,99.4,98.0,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
云南,云南,2024,99.4,96.7,National Energy Administration,https://www.nea.gov.cn/20251113/cc1fb0298a2944f8bd5441f67c9be9b3/c.html,2024 National renewable power development monitoring and evaluation result Table 4,2026-07-01,row-level official complete,Official NEA Table 4 reports PV generation utilization rate
