province,year,fleet_hours,source_name,source_url,source_doc,retrieved_date,source_audit_status,source_note
海南,2024,1250,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
重庆,2024,950,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
四川,2024,1050,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
贵州,2024,950,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
云南,2024,1450,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
西藏,2024,1650,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
陕西,2024,1300,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
甘肃,2024,1500,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
青海,2024,1650,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
宁夏,2024,1550,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
新疆,2024,1450,NEA and provincial public PV utilization statistics,https://www.nea.gov.cn/,2024 provincial PV utilization-hour anchor table,2026-07-01,source-family traceable; row-level official document pending,Versioned anchor table compiled from NEA and provincial public statistics for system-level validation; row-level source URLs remain an open source-appendix task
